0,1,2,3,4,5,6
73.44444444444444,79.9753086419753,117.869918699187,102.30252100840336,110.5327868852459,101.34959349593495,81.76351351351352
90.65384615384616,105.46212121212122,127.74242424242425,118.45637583892618,133.8,128.078125,91.671875
128.3125,147.18253968253967,160.90666666666667,149.3046357615894,158.35882352941175,171.08227848101265,156.70440251572327
184.69182389937106,184.5037037037037,193.4090909090909,198.3913043478261,200.2781954887218,178.23026315789474,182.34868421052633
216.64814814814815,188.45098039215685,211.3975155279503,190.04964539007094,230.30263157894737,246.6390977443609,262.875
249.43055555555554,223.25925925925927,228.9375,229.33986928104576,234.9935064935065,234.04109589041096,255.64071856287424
215.1772151898734,233.9261744966443,249.37662337662337,250.54814814814816,229.006993006993,231.35064935064935,219.00689655172414
205.68217054263565,218.70469798657717,256.5668789808917,265.8139534883721,269.2785714285714,246.7792207792208,237.72131147540983
252.16216216216216,234.32539682539684,210.94117647058823,231.4148148148148,213.16556291390728,234.56,271.84615384615387
190.1418918918919,220.88888888888889,204.61267605633802,224.7434210526316,224.01307189542484,231.55797101449275,224.09722222222223
171.09774436090225,181.5040650406504,162.23270440251574,174.57792207792207,171.05921052631578,175.6122448979592,171.8041958041958
108.09868421052632,141.78666666666666,150.13846153846154,130.4885496183206,165.62576687116564,153.25974025974025,134.21428571428572
